audit_id	dimension	scope	system_or_authority	local_language_layer	evidence_state	audit_state	material_gap	next_action
M6-JUR-001	jurisdiction_system	GB	BHA	English	researched_current_pass	covered_current_scope		Maintain scoped terms; do not generalize GB rules globally
M6-JUR-002	jurisdiction_system	Ireland	IHRB/HRI	English	researched_current_pass	covered_current_scope		Maintain Ireland-specific National Hunt and meeting terminology
M6-JUR-003	jurisdiction_system	US	Equibase/USTA/HISA	English	researched_current_pass	covered_current_scope		Keep flat/harness/regulatory scopes distinct
M6-JUR-004	jurisdiction_system	Canada	Canadian current authority evidence	English	researched_current_pass	covered_current_scope		Keep Canada-specific terms bounded
M6-JUR-005	jurisdiction_system	Australia	Racing Australia/PRA evidence	English	researched_current_pass	covered_current_scope		Keep state/PRA differences visible
M6-JUR-006	jurisdiction_system	New Zealand	NZTR	English	researched_current_pass	covered_current_scope		Maintain NZ-specific usage
M6-JUR-007	jurisdiction_system	Japan/JRA	JRA	Japanese/Jpan	researched_current_pass	covered_current_scope		Maintain official/local labels
M6-JUR-008	jurisdiction_system	Japan/NAR	NAR	Japanese/Jpan	researched_current_pass	covered_current_scope		Maintain NAR class-system distinctions
M6-JUR-009	jurisdiction_system	Japan/Banei	ばんえい十勝	Japanese/Jpan	researched_current_pass	covered_current_scope		Keep Banei as a distinct racing system
M6-JUR-010	jurisdiction_system	France/Flat-Jump	France Galop	French/Latn	researched_current_pass	covered_current_scope		Preserve French no-direct-equivalent terms
M6-JUR-011	jurisdiction_system	France/Harness	SETF/UET	French/Latn	researched_current_pass	covered_current_scope		Preserve harness-specific codes and mechanics
M6-JUR-012	jurisdiction_system	Hong Kong	HKJC	Traditional Chinese/Hant + English	researched_current_pass	covered_current_scope		Maintain bilingual official distinctions
M6-JUR-013	jurisdiction_system	Korea	KRA	Korean/Hang	researched_current_pass	covered_current_scope		KRA 국산마 and 외산마 now map to separate KRA-specific active Concepts rather than retired generic or Japan-scoped identities
M6-JUR-014	jurisdiction_system	UAE	ERA	Arabic/Arab + English	researched_current_pass	covered_current_scope		Six material ERA rule terms now have source-verified Arabic-script labels directly aligned to the official Arabic/English Rules; extend only where user value warrants
M6-JUR-015	jurisdiction_system	South Africa	NHA/operator evidence	English authority layer	researched_current_pass	covered_current_scope		Maintain Merit Rating and local race-type distinctions
M6-JUR-016	jurisdiction_system	International Arabian	IFAHR	English/international codes	researched_current_pass	covered_current_scope		Maintain PA group-code scope
M6-JUR-017	worldwide_gap	Continental Europe beyond France/Germany/GB/IRE	multiple	unreviewed	bounded Germany authority review complete; other systems unaudited	partial	Major racing systems outside the current France/Germany/GB/IRE research set are not audited	Continue bounded authority-first reviews before claiming worldwide readiness
M6-JUR-018	worldwide_gap	Latin America	multiple	Chile Spanish + Brazil Portuguese first scopes reviewed	bounded authority research in Chile and Brazil	partial	Latin America beyond these first scopes remains unaudited	Continue bounded authority-first reviews; add Concepts only for real semantic gaps
M6-JUR-019	worldwide_gap	Gulf/Middle East beyond UAE/Saudi Arabia/Qatar	multiple	Saudi JCSA and Qatar QREC Arabic scopes reviewed	bounded Saudi and Qatar authority research	partial	Bahrain and other material Gulf/Middle East racing systems remain unaudited	Continue authority-first terminology/original-script review without blanket expansion
M6-JUR-020	worldwide_gap	South/Southeast Asia beyond current HK/Japan/Korea	multiple	unreviewed	no dedicated jurisdiction research	gap	Other material Asian racing systems are not audited	Target only active major systems with authoritative terminology sources
M6-JUR-021	jurisdiction_system	Chile	CSHN / Reglamento de Carreras de Chile	Spanish/Latn	researched_current_pass	covered_current_scope		Eight fundamental official rule terms map cleanly to existing Concepts; keep Chile-specific qualification boundaries
M6-JUR-022	jurisdiction_system	Brazil	MAPA / Jockey Club Brasileiro / Regramento Nacional de Corridas	Portuguese/Latn	researched_current_pass	covered_current_scope		Twelve fundamental official rule terms map cleanly to existing Concepts; preserve Brazilian qualification and procedure boundaries
M6-JUR-023	jurisdiction_system	Germany	Deutscher Galopp	German/Latn	researched_current_pass	covered_current_scope		Twelve current Rennordnung terms map cleanly to existing Concepts; preserve German licensing and race-administration boundaries
M6-JUR-024	jurisdiction_system	Saudi Arabia	Jockey Club of Saudi Arabia (JCSA)	Arabic/Arab + English	researched_current_pass	covered_current_scope		Four authority-published Arabic racing labels map cleanly to existing Concepts; preserve observed plural/category forms and Saudi-specific procedural boundaries
M6-JUR-025	jurisdiction_system	Qatar	Qatar Racing and Equestrian Club (QREC)	Arabic/Arab + English	researched_current_pass	covered_current_scope		Three current QREC Arabic role labels map cleanly to existing Concepts; preserve Qatar-published forms and current-season licensing boundaries
