review_id	usage_id	candidate_target	label	jurisdiction	candidate_domain	issue	next_action	priority
REGREV-001	REG-013	NEW-REVIEW-JP-GARERU	ガレる	Japan/JRA	HORSE/WELF	Verified stable term describes body-condition deterioration; no exact current Concept.	Decide standalone horse-condition Concept vs broader condition relation; source already sufficient for usage.	P1
REGREV-002	REG-014	NEW-REVIEW-JP-KUCHITORI	口取り	Japan/JRA	RUN/ROLE/MEET	Polysemous: horse handling/gate control and winner's-circle commemorative photography.	Split senses before any Concept promotion; do not select one sense as canonical.	P0
REGREV-003	REG-015	NEW-REVIEW-JP-TEPPO	鉄砲	Japan/JRA	TRAIN	Long-layoff first run is not identical to the layoff period itself.	Review separate first-up-after-layoff Concept and relation to TRAIN-021 Layoff.	P1
REGREV-004	REG-016	NEW-REVIEW-JP-IPPONKABURI	一本かぶり	Japan/JRA	BET	Describes extreme concentration of betting support, not merely Favorite.	Review betting-market-concentration Concept and relation to BET-030/031 Favorite/Favourite.	P1
REGREV-005	REG-017	NEW-REVIEW-JP-HIMO	ヒモ	Japan/JRA	BET	Selection relative to an anchor/key horse; no current generic partner-selection Concept.	Review betting-combination role Concept; preserve JRA historical nuance.	P1
REGREV-006	REG-020	NEW-REVIEW-US-CHALK-PLAYER	Chalk player	North America	BET/ROLE	Established bettor slang but master has no bettor/person ontology.	Decide whether bettor roles belong in BET or a new subdomain before promotion.	P2
REGREV-007	REG-021	NEW-REVIEW-US-BRIDGE-JUMPER	Bridge jumper	North America	BET/ROLE	Established betting slang for a specific high-stake low-return bettor behaviour.	Collect one additional contemporary specialist source and decide person vs behaviour Concept.	P2
REGREV-008	REG-022	NEW-REVIEW-US-RABBIT	Rabbit	North America	RUN/ROLE	Tactical stablemate pace role; not exact Pacesetter because purpose/relationship is essential.	Model tactical-role Concept plus relation to Pacesetter and stablemate/entry concepts.	P1
REGREV-009	REG-025	NEW-REVIEW-HARNESS-SIDEWHEELER	sidewheeler	Canada	HORSE/DISC	Term refers to a pacer horse, not to the Pacing discipline itself.	Review Pacer horse/gait-type Concept before mapping.	P1
REGREV-010	REG-026	NEW-REVIEW-JP-OTEUMA	お手馬	Japan/JRA	ROLE/RELATION	Represents a persistent jockey-horse relationship.	Review relationship Concept/model rather than a standalone horse type.	P2
REGREV-011	REG-027	NEW-REVIEW-JP-OYAKODONBURI	親子どんぶり	Japan/JRA	RESULT/RELATION	Outcome pattern combines common ownership/stable relationship with 1-2 finish.	Review whether this belongs only as colloquial usage without public Concept.	P3
REGREV-012	REG-028	NEW-REVIEW-JP-ZUBUI	ズブい	Japan/JRA	HORSE/RUN	Response/acceleration characteristic, not a fixed running style.	Review horse-behaviour/performance characteristic ontology.	P2
REGREV-013	REG-029	NEW-REVIEW-JP-SORA	ソラを使う	Japan/JRA	HORSE/RUN	Loss of concentration in racing/training; behaviour rather than race position.	Review horse-behaviour Concept and relation to race/training context.	P2
REGREV-014	REG-030	NEW-REVIEW-JP-UMAKKE	馬っ気	Japan/JRA	HORSE/WELF	Colloquial male-horse sexual-arousal condition with possible performance context.	Review horse-condition/behaviour Concept and appropriate reader-facing terminology.	P3
